timestamp;latitude;longitude;weather_id;weather_main;weather_description;weather_icon;base;temp;feels_like;temp_min;temp_max;pressure;humidity;sea_level;grnd_level;visibility;wind_speed;wind_deg;wind_gust;clouds_all;dt;sys_type;sys_id;country;sunrise;sunset;timezone;city_id;city_name;cod
2024-08-12T19:24:40.780485;515.072;-0.1276;800;Clear;clear sky;01n;stations;19.18;18.9;17.79;19.92;1009;67;1009;1005;10000;0.89;289;3.13;4;1723508600;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T19:29:40.786236;515.072;-0.1276;800;Clear;clear sky;01n;stations;19.18;18.9;17.79;19.92;1009;67;1009;1005;10000;0.89;289;3.13;4;1723508600;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T19:34:40.779703;515.074;-0.1278;800;Clear;clear sky;01n;stations;19.21;18.94;17.79;19.92;1009;67;1009;1005;10000;3.09;240;;5;1723509224;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T19:39:40.779097;515.074;-0.1278;800;Clear;clear sky;01n;stations;19.21;18.94;17.79;19.92;1009;67;1009;1005;10000;3.09;240;;5;1723509224;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T19:44:40.794635;515.074;-0.1278;800;Clear;clear sky;01n;stations;19.2;18.9;17.79;19.92;1009;66;1009;1005;10000;3.09;240;;5;1723509782;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T19:49:40.817426;515.072;-0.1276;800;Clear;clear sky;01n;stations;19.21;18.91;17.79;19.92;1009;66;1009;1005;10000;3.09;240;;5;1723509709;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T19:54:40.794525;515.077;-0.128;800;Clear;clear sky;01n;stations;18.78;18.46;17.23;19.88;1009;67;1009;1005;10000;3.09;240;;5;1723510635;2;2075535;GB;1723524207;1723577244;3600;2643743;London;200
2024-08-12T19:59:40.807557;515.077;-0.128;800;Clear;clear sky;01n;stations;18.78;18.46;17.23;19.88;1009;67;1009;1005;10000;3.09;240;;5;1723510635;2;2075535;GB;1723524207;1723577244;3600;2643743;London;200
2024-08-12T20:04:40.801471;515.074;-0.1278;800;Clear;clear sky;01n;stations;18.6;18.29;17.23;19.36;1009;68;1009;1005;10000;0.89;255;1.34;5;1723511278;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T20:09:40.835493;515.085;-0.1257;800;Clear;clear sky;01n;stations;18.66;18.33;17.21;19.86;1009;67;1009;1005;10000;3.09;220;;5;1723511202;2;2075535;GB;1723524206;1723577243;3600;2643743;London;200
2024-08-12T20:14:40.828595;515.074;-0.1278;800;Clear;clear sky;01n;stations;18.09;17.81;16.68;18.88;1010;71;1010;1005;10000;3.6;210;;9;1723513943;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
